KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
"403829,WA,2378,EBA,00,4,956,1,101,DA,""Pengelolaan Barang Milik Negara (BMN)"",524111,A,0,A0,,1,0,1,0,17,""DKI Jakarta"",A,0,,0,,0,,0,,0,,0,0,,0,B10,0,0,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,956,1,101,DA,""Pengelolaan Barang Milik Negara (BMN)"",524111,A,0,A0,,0,0,2,1,18,""Uang Harian"",A,0,,0,,0,,0,,2,OK,300000,600000,,0,B10,0,600000,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,958,1,201,DA,""Pelayanan Publik dan Kehumasan"",524111,A,0,A0,,1,0,1,0,215,""DKI Jakarta"",A,0,,0,,0,,0,,0,,0,0,,0,B10,0,0,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,958,1,201,DA,""Pelayanan Publik dan Kehumasan"",524111,A,0,A0,,0,0,2,1,216,""Uang Harian"",A,0,,0,,0,,0,,1,OK,450000,450000,,0,B10,0,450000,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DA,""Pelayanan Tata Usaha dan Kerumahtanggaan"",522151,A,0,A0,,0,0,1,0,282,""Honor Narasumber"",A,0,,0,,0,,0,,2,OJ,900000,1800000,,0,B10,0,61785,0,0,344873,0,590767,0,415035,387540,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DA,""Pelayanan Tata Usaha dan Kerumahtanggaan"",524111,A,0,A0,,1,0,1,0,208,""DKI Jakarta"",A,0,,0,,0,,0,,0,,0,0,,0,B10,0,0,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DA,""Pelayanan Tata Usaha dan Kerumahtanggaan"",524111,A,0,A0,,0,0,2,1,209,""Uang Harian"",A,0,,0,,0,,0,,2,OK,300000,600000,,0,B10,0,20595,0,0,114958,0,196922,0,138345,129180,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DB,""Operasional Pimpinan"",524111,A,0,A0,,1,0,1,0,211,""DKI Jakarta"",A,0,,0,,0,,0,,0,,0,0,,0,B10,0,0,0,0,0,0,0,0,0,0,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DB,""Operasional Pimpinan"",524111,A,0,A0,,0,0,2,1,212,""Uang Harian"",A,0,,0,,0,,0,,32,OK,430000,13760000,,0,B10,0,472311,0,0,2636362,0,4516082,0,3172713,2962532,0,0"
"403829,WA,2378,EBA,00,4,962,1,201,DB,""Operasional Pimpinan"",524111,A,0,A0,,0,0,3,2,213,""Biaya Transportasi"",A,0,,0,,0,,0,,4,OK,330000,1320000,,0,B10,0,45309,0,0,252907,0,433229,0,304359,284196,0,0"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511111,A,0,A0,,0,0,1,0,20,""Belanja Gaji Pokok PNS"",A,0,,0,,0,,0,,12,BULAN,165479000,1985748000,,0,B10,57263628,133568122,269813699,133687607,131823887,270712779,131563480,132178264,129505681,151818318,184546419,259266116"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511111,A,0,A0,,0,0,2,1,21,""Belanja Gaji Pokok PNS (Ke-13)"",A,0,,0,,0,,0,,1,BULAN,166385000,166385000,,0,B10,4798096,11191617,22607578,11201629,11045469,22682911,11023649,11075162,10851227,12720794,15463068,21723800"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511111,A,0,A0,,0,0,3,2,22,""Belanja Gaji Pokok PNS (Ke-14)"",A,0,,0,,0,,0,,1,BULAN,166385000,166385000,,0,B10,4798096,11191617,22607578,11201629,11045469,22682911,11023649,11075162,10851227,12720794,15463068,21723800"
"403829,WA,2378,EBA,00,4,994,1,001,DC,""Pembayaran Gaji dan Tunjangan Penyuluh PNS"",511111,A,0,A0,,0,0,1,0,75,""Belanja Gaji Pokok PNS"",A,0,,0,,0,,0,,12,BULAN,1219680000,14636160000,,0,B10,422067460,984477586,1988689638,985358267,971621525,1995316396,969702167,974233500,954534952,1118992540,1360218372,1910947597"
"403829,WA,2378,EBA,00,4,994,1,001,DC,""Pembayaran Gaji dan Tunjangan Penyuluh PNS"",511111,A,0,A0,,0,0,2,1,76,""Belanja Gaji Pokok PNS (Ke-13)"",A,0,,0,,0,,0,,1,BULAN,1250844000,1250844000,,0,B10,36070974,84135995,169958548,84211260,83037283,170524888,82873249,83260509,81577020,95631990,116247772,163314512"
"403829,WA,2378,EBA,00,4,994,1,001,DC,""Pembayaran Gaji dan Tunjangan Penyuluh PNS"",511111,A,0,A0,,0,0,3,2,77,""Belanja Gaji Pokok PNS (Ke-14)"",A,0,,0,,0,,0,,1,BULAN,1221335000,1221335000,,0,B10,35220014,82151120,165949010,82224609,81078328,166501989,80918164,81296288,79652514,93375910,113505339,159461715"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511119,A,0,A0,,0,0,1,0,23,""Belanja Pembulatan Gaji PNS"",A,0,,0,,0,,0,,12,BULAN,2000,24000,,0,B10,692,1614,3261,1616,1593,3272,1590,1598,1565,1835,2230,3134"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511119,A,0,A0,,0,0,2,1,24,""Belanja Pembulatan Gaji PNS (Ke-13)"",A,0,,0,,0,,0,,1,BULAN,3000,3000,,0,B10,87,202,408,202,199,409,199,200,196,229,279,390"
"403829,WA,2378,EBA,00,4,994,1,001,DA,""Pembayaran Gaji dan Tunjangan PNS"",511119,A,0,A0,,0,0,3,2,25,""Belanja Pembulatan Gaji PNS (Ke-14)"",A,0,,0,,0,,0,,1,BULAN,3000,3000,,0,B10,87,202,408,202,199,409,199,200,196,229,279,390"
